Animal_Species,Age_Months,Sex,Herd_Size,Vaccinated_FMD,Vaccinated_HS,Vaccinated_LSD,Vaccinated_BQ,Days_Since_Last_Vaccination,Recent_Treatment,Latitude,Longitude,Dist_Nearest_Outbreak_km,Dist_Waterbody_km,Temperature_C,Humidity_Percent,Rainfall_mm,Season,District_Outbreaks_30d,Symptom_Onset_Days,Sick_Animal_Count,Mortality_Count,Fever,Salivation,Blisters_Mouth_Teats,Lameness,Skin_Nodules,Udder_Swelling,Respiratory_Distress,Abnormal_Milk,Diarrhea,Bleeding_Orifices,Target_Disease,Triage_Risk_Level,Escalation_Required
Buffalo,96,Female,13,1,0,1,1,157,Antibiotics,27.6813,78.7314,38.8,11.5,29.4,72.9,20.7,Monsoon,3,6,2,2,1,1,0,0,0,0,1,0,0,0,Hemorrhagic_Septicemia,Critical,1
Buffalo,63,Female,14,1,0,1,1,107,Antibiotics,18.809,76.1492,29.2,10.6,29.1,84.5,28.5,Monsoon,0,4,3,0,1,0,0,0,0,1,0,1,0,0,Mastitis,Moderate,0
Cow,22,Female,34,1,1,1,1,98,Untreated,25.7642,77.73,47.3,10.2,12.9,47.3,9.7,Monsoon,4,1,4,0,1,0,1,1,0,0,0,0,0,0,FMD,High,1
Cow,20,Female,2,1,0,1,1,92,Antibiotics,15.7912,78.0778,2.6,11.2,28.3,66.5,15.3,Post-Monsoon,3,1,1,0,1,0,0,0,0,1,0,1,0,0,Mastitis,Moderate,0
Buffalo,75,Female,11,1,1,0,1,344,Dewormed,18.6865,79.2808,44.2,3.5,31.5,54.2,3.9,Winter,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Healthy,Low,0
Buffalo,25,Female,6,0,1,0,0,171,Supportive Care,27.3659,83.7336,25.9,9.7,32.0,84.3,22.4,Post-Monsoon,1,4,2,0,1,0,0,0,1,0,0,0,0,0,Lumpy_Skin_Disease,Moderate,0
Buffalo,31,Female,4,0,1,1,1,114,Supportive Care,26.1033,84.3539,45.8,6.2,32.7,65.5,42.7,Monsoon,1,5,1,2,0,0,0,1,0,0,0,0,0,0,Black_Quarter,High,1
Cow,106,Female,36,1,1,1,0,36,Supportive Care,22.9009,77.3922,10.1,10.2,28.6,100.0,50.0,Monsoon,3,3,3,1,1,0,0,0,0,0,1,0,0,0,Hemorrhagic_Septicemia,Critical,1
Buffalo,56,Female,12,0,1,1,1,173,Supportive Care,24.6825,73.5735,2.8,12.2,17.1,68.3,10.2,Monsoon,4,4,2,0,1,1,1,1,0,0,0,0,0,0,FMD,Moderate,0
Buffalo,73,Female,5,1,1,1,1,119,Untreated,20.11,77.3691,33.8,0.2,20.5,50.2,6.0,Post-Monsoon,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Healthy,Low,0
Cow,105,Female,15,1,0,1,1,172,Supportive Care,19.6743,82.806,4.9,4.4,24.3,79.7,38.3,Monsoon,7,4,4,2,1,1,0,0,0,0,1,0,0,0,Hemorrhagic_Septicemia,Critical,1
Cow,7,Female,4,1,1,1,1,80,Supportive Care,24.7903,76.0937,15.9,7.2,33.4,80.6,24.5,Post-Monsoon,0,4,3,0,1,0,0,0,1,0,0,0,0,0,Lumpy_Skin_Disease,High,1
Buffalo,18,Male,7,1,0,1,0,294,Dewormed,20.7446,80.7046,25.3,13.6,30.3,77.1,13.9,Post-Monsoon,4,1,1,0,1,0,0,1,0,0,0,0,0,1,Black_Quarter,Moderate,0
Buffalo,106,Female,5,0,1,1,1,266,Antibiotics,18.8731,83.2296,47.8,14.9,19.6,60.6,2.5,Summer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Healthy,Low,0
Cow,6,Female,6,1,1,0,1,209,Dewormed,19.5553,74.096,8.4,2.5,18.7,54.2,1.4,Winter,3,3,2,0,1,1,1,1,0,0,0,0,0,0,FMD,Moderate,0
Buffalo,11,Male,3,0,1,1,1,287,Supportive Care,24.7459,75.994,0.6,3.4,28.7,72.1,20.9,Monsoon,0,5,1,0,1,0,0,1,0,0,1,0,0,1,Anthrax,Critical,1
Buffalo,36,Female,22,1,1,1,1,159,Supportive Care,19.8413,81.3462,32.9,0.4,18.4,41.9,8.9,Post-Monsoon,1,0,0,0,0,0,0,0,0,0,1,0,0,0,Healthy,Low,0
Cow,50,Female,1,1,0,1,1,133,Antibiotics,19.3724,76.2639,42.6,6.0,29.0,93.9,42.0,Monsoon,3,4,1,2,1,1,0,0,0,0,1,0,0,0,Hemorrhagic_Septicemia,Critical,1
Cow,85,Female,16,1,0,1,1,33,Dewormed,26.4091,82.972,13.1,3.5,16.0,63.3,11.3,Post-Monsoon,2,6,3,0,1,0,0,1,0,0,0,0,0,0,FMD,High,1
Buffalo,21,Female,25,1,1,1,0,32,Dewormed,22.413,76.5207,12.5,4.9,30.5,65.5,17.2,Monsoon,3,3,1,1,0,0,1,1,0,0,0,0,0,0,Black_Quarter,High,1
Cow,68,Female,1,0,0,1,1,101,Untreated,20.4615,83.9147,31.1,1.6,25.3,63.6,4.4,Winter,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Healthy,Low,0
Buffalo,68,Female,19,1,0,1,1,314,Dewormed,19.4608,79.1782,42.8,11.2,26.2,77.8,15.5,Winter,4,2,2,0,1,0,0,0,0,1,0,1,0,0,Mastitis,Moderate,0
Buffalo,90,Female,26,1,1,1,0,296,Untreated,16.1778,77.25,47.6,10.5,25.8,82.9,14.0,Monsoon,2,6,2,2,1,0,0,0,0,0,0,0,0,0,Black_Quarter,High,1
Buffalo,47,Female,13,0,1,0,0,328,Dewormed,24.8422,77.6826,41.3,11.7,32.4,63.4,43.6,Monsoon,2,6,1,0,0,0,0,1,0,0,0,0,0,0,Black_Quarter,Moderate,0
Buffalo,117,Male,3,0,0,1,1,90,Antibiotics,23.0217,83.6464,31.4,14.7,30.8,100.0,52.9,Monsoon,1,6,2,1,1,1,0,0,0,0,1,0,0,0,Hemorrhagic_Septicemia,Critical,1
Buffalo,90,Male,12,1,1,0,1,301,Untreated,17.9874,76.9196,86.7,7.5,19.9,62.1,12.8,Summer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Healthy,Low,0
Cow,6,Female,15,1,1,0,0,180,Dewormed,19.4166,77.6453,40.9,3.4,33.5,86.4,28.2,Post-Monsoon,2,4,4,0,1,0,0,0,1,0,0,0,0,0,Lumpy_Skin_Disease,High,1
Cow,12,Female,9,0,0,0,1,163,Dewormed,19.2778,76.1817,46.3,4.4,32.5,84.8,12.0,Post-Monsoon,2,5,2,0,1,0,0,0,1,0,0,0,0,0,Lumpy_Skin_Disease,Moderate,0
Cow,85,Female,34,1,1,1,1,303,Untreated,18.8229,74.7791,51.3,13.5,19.6,69.2,8.4,Monsoon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Healthy,Low,0
Buffalo,100,Female,7,1,1,0,0,139,Untreated,23.4254,73.7068,41.0,8.5,29.7,85.5,22.4,Post-Monsoon,4,6,3,0,1,0,0,0,1,0,0,0,0,0,Lumpy_Skin_Disease,High,1
Cow,103,Female,28,1,0,0,0,72,Dewormed,21.818,82.9523,35.4,14.4,27.7,81.9,28.2,Post-Monsoon,4,4,3,0,1,0,0,0,1,0,0,0,0,0,Lumpy_Skin_Disease,High,1
Buffalo,114,Female,15,1,0,1,0,143,Supportive Care,24.2256,76.6112,46.0,10.7,32.4,76.4,29.0,Post-Monsoon,3,3,1,0,1,0,1,1,0,0,0,0,0,0,Black_Quarter,Moderate,0
Buffalo,111,Female,61,1,1,0,0,308,Antibiotics,17.0696,73.1082,39.8,7.1,35.6,86.7,16.0,Post-Monsoon,4,2,1,0,1,0,0,0,0,0,0,0,0,0,Lumpy_Skin_Disease,Moderate,0
Cow,77,Female,10,0,0,1,1,198,Antibiotics,20.8286,75.2449,26.2,6.4,32.7,55.9,10.4,Summer,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Healthy,Low,0
Cow,67,Female,15,0,0,1,1,139,Dewormed,24.4596,77.7692,48.2,8.6,30.8,53.3,17.1,Post-Monsoon,6,3,3,0,1,0,0,0,0,0,1,1,0,1,Anthrax,Critical,1
Buffalo,32,Male,1,0,0,0,1,233,Antibiotics,27.2986,78.2071,10.1,14.0,22.5,78.2,78.4,Monsoon,2,4,1,0,1,1,0,0,0,0,1,0,0,0,Hemorrhagic_Septicemia,Critical,1
Cow,23,Female,12,0,1,0,1,245,Dewormed,27.448,77.8642,23.1,10.6,28.9,85.7,35.5,Monsoon,2,1,1,1,1,0,0,0,0,0,1,0,0,0,Hemorrhagic_Septicemia,Critical,1
Cow,84,Female,7,1,1,1,0,101,Untreated,15.3551,80.8644,30.3,0.5,27.0,95.6,28.4,Post-Monsoon,4,6,2,0,1,0,1,0,0,1,0,1,0,0,Mastitis,Moderate,0
Cow,59,Female,31,1,0,1,1,275,Dewormed,26.2855,81.8113,1.6,10.3,26.2,85.0,42.9,Monsoon,3,1,1,1,0,1,0,0,0,0,1,0,0,0,Hemorrhagic_Septicemia,Critical,1
Cow,95,Female,5,1,0,1,1,285,Dewormed,24.5797,81.7462,0.9,3.4,29.8,88.0,35.0,Monsoon,5,1,4,0,1,1,0,0,0,0,1,0,0,0,Hemorrhagic_Septicemia,Critical,1
Cow,100,Female,12,0,0,1,1,357,Dewormed,16.9947,75.6187,3.4,13.9,23.8,70.3,26.8,Winter,2,1,1,0,1,0,0,0,0,1,0,1,0,0,Mastitis,Moderate,0
Cow,87,Female,7,0,1,1,0,255,Dewormed,23.5433,78.0274,24.0,13.4,38.2,60.4,14.3,Post-Monsoon,2,1,3,0,1,1,0,1,0,0,0,0,0,0,FMD,High,1
Buffalo,115,Female,3,0,0,1,0,362,Untreated,16.645,80.9045,11.7,0.4,32.7,58.3,26.8,Monsoon,2,1,1,1,1,0,0,1,1,0,0,0,0,0,Black_Quarter,High,1
Cow,76,Female,17,0,1,0,1,347,Untreated,22.9648,80.7646,48.6,9.3,26.6,80.9,23.9,Post-Monsoon,3,4,4,0,1,0,0,0,1,0,0,0,0,0,Lumpy_Skin_Disease,High,1
Buffalo,62,Female,4,1,1,1,0,54,Untreated,27.4474,76.3352,3.6,11.6,30.9,67.3,27.2,Monsoon,2,1,1,1,1,0,0,0,1,0,0,0,0,0,Black_Quarter,High,1
Cow,102,Female,8,1,1,0,0,248,Antibiotics,17.2476,78.7532,3.5,9.3,40.6,55.6,41.6,Monsoon,3,6,2,2,1,0,0,1,0,0,0,0,0,0,Black_Quarter,High,1
Buffalo,80,Male,3,0,0,1,1,163,Untreated,26.9859,83.9889,44.6,13.3,27.9,83.3,19.7,Post-Monsoon,1,6,2,0,1,0,0,0,0,0,0,0,0,0,Lumpy_Skin_Disease,Moderate,0
Cow,46,Female,6,0,1,1,1,228,Antibiotics,15.6353,80.1634,32.3,9.1,30.0,68.5,10.0,Monsoon,3,4,4,0,1,1,1,1,0,0,0,0,0,0,FMD,High,1
Buffalo,78,Female,20,0,1,1,1,180,Dewormed,16.0513,75.0573,23.8,13.4,14.9,63.6,6.9,Summer,6,2,4,0,1,1,1,1,0,0,0,0,0,0,FMD,High,1
Buffalo,110,Female,8,1,1,0,0,266,Antibiotics,15.5837,74.2806,0.5,10.5,25.0,72.7,23.1,Monsoon,2,4,1,0,1,0,0,0,0,1,0,1,0,0,Mastitis,Moderate,0
Cow,85,Female,1,1,0,1,1,203,Supportive Care,27.2215,79.1678,48.5,8.5,26.3,82.5,9.6,Summer,3,4,1,0,1,0,0,0,0,1,0,1,0,0,Mastitis,Moderate,0
Cow,109,Female,14,0,1,0,1,132,Supportive Care,24.1399,84.5321,8.0,13.0,30.3,65.6,26.7,Post-Monsoon,3,6,2,0,1,0,0,0,0,0,0,0,0,0,Lumpy_Skin_Disease,Moderate,0
Cow,98,Female,27,1,1,0,0,112,Untreated,26.4739,83.1743,12.9,12.1,31.3,81.1,7.3,Winter,4,3,1,0,0,0,0,0,0,1,0,1,1,0,Mastitis,Moderate,0
Buffalo,21,Female,10,1,1,1,0,159,Dewormed,27.2726,82.8863,39.2,13.0,36.5,78.1,39.8,Post-Monsoon,2,5,1,0,1,1,0,1,0,0,0,0,0,0,Black_Quarter,Moderate,0
Buffalo,101,Female,1,0,1,1,1,243,Antibiotics,26.7885,81.5944,14.5,2.1,34.5,67.3,35.9,Post-Monsoon,4,2,1,1,1,0,0,0,0,0,1,0,0,1,Anthrax,Critical,1
Cow,78,Female,7,1,1,1,1,248,Untreated,27.6403,74.7716,45.5,10.0,29.2,35.9,7.4,Summer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Healthy,Low,0
Buffalo,117,Female,8,1,1,0,0,31,Untreated,22.6925,75.6113,11.4,9.1,27.0,79.2,8.4,Post-Monsoon,3,5,4,0,1,0,0,0,1,0,0,0,1,0,Lumpy_Skin_Disease,High,1
Buffalo,85,Male,3,0,0,1,0,249,Dewormed,27.9652,73.7356,21.9,0.5,25.3,76.1,2.4,Summer,1,1,2,0,1,1,0,1,0,0,0,0,1,0,FMD,Moderate,0
Cow,51,Female,20,1,1,0,1,195,Untreated,17.2094,74.2587,22.8,2.0,30.9,91.9,5.8,Post-Monsoon,1,3,2,0,1,0,0,0,1,0,0,0,0,0,Lumpy_Skin_Disease,Moderate,0
Buffalo,82,Female,12,1,1,1,0,162,Supportive Care,18.6183,81.3948,35.4,10.5,18.1,100.0,23.5,Summer,2,6,3,0,1,0,1,0,0,1,0,1,0,0,Mastitis,Moderate,0
Buffalo,59,Female,3,1,1,1,1,359,Supportive Care,23.4001,73.5373,87.3,14.6,26.4,69.0,4.7,Post-Monsoon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Healthy,Low,0
Buffalo,41,Female,13,0,1,0,1,34,Untreated,18.6745,80.0678,7.6,6.1,19.3,47.0,5.4,Winter,0,4,3,0,1,1,1,1,0,0,0,0,0,0,FMD,High,1
Cow,50,Female,6,1,1,1,1,53,Antibiotics,16.7629,73.4646,12.6,5.7,34.9,80.1,30.4,Post-Monsoon,6,6,2,2,1,0,0,0,0,0,1,0,0,1,Anthrax,Critical,1
Buffalo,67,Female,34,0,0,1,1,60,Supportive Care,27.7363,81.3383,30.3,6.2,26.9,77.2,1.7,Winter,2,5,3,0,1,1,1,1,0,0,0,0,0,0,FMD,High,1
Buffalo,42,Female,1,0,1,1,1,263,Supportive Care,16.7166,84.7007,13.0,8.0,25.1,82.2,7.7,Monsoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Healthy,Low,0
Cow,7,Female,10,0,1,1,1,108,Antibiotics,20.0869,79.1104,5.9,8.1,30.6,39.7,4.4,Winter,3,2,1,0,1,1,1,1,0,0,0,0,0,0,FMD,Moderate,0
Cow,56,Female,9,1,0,1,1,228,Antibiotics,24.3555,78.7551,26.4,0.5,28.4,78.2,44.4,Monsoon,3,3,2,2,1,1,0,0,0,0,1,0,0,0,Hemorrhagic_Septicemia,Critical,1
Cow,32,Female,9,1,1,0,1,313,Supportive Care,24.0704,75.637,97.9,4.8,24.6,53.0,11.6,Post-Monsoon,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Healthy,Low,0
Buffalo,95,Male,28,1,1,1,0,243,Untreated,22.1924,81.3464,14.2,8.6,27.5,60.1,10.3,Summer,5,6,1,0,1,1,1,1,0,0,0,1,0,0,FMD,Moderate,0
Cow,10,Female,7,1,1,1,0,204,Antibiotics,20.6526,79.3943,1.0,12.5,30.6,72.1,21.5,Post-Monsoon,2,2,1,0,1,0,0,1,0,0,0,0,0,0,Black_Quarter,Moderate,0
Buffalo,62,Female,1,0,1,1,0,165,Dewormed,18.7607,77.1477,39.4,3.8,15.1,69.5,10.6,Post-Monsoon,3,3,1,0,1,1,1,1,0,0,0,0,0,0,FMD,Moderate,0
Cow,18,Female,9,0,0,1,1,79,Untreated,20.0111,81.2133,9.9,14.8,27.9,86.0,37.7,Monsoon,5,6,4,2,1,1,0,0,0,0,1,0,0,0,Hemorrhagic_Septicemia,Critical,1
Cow,46,Female,3,0,1,1,1,73,Dewormed,25.5761,84.1503,10.4,0.3,18.3,45.4,3.4,Summer,1,1,1,0,0,1,0,1,0,0,0,0,0,0,FMD,Moderate,0
Cow,79,Female,3,0,1,1,1,202,Dewormed,20.6529,75.2343,19.5,14.9,29.2,49.2,10.4,Post-Monsoon,2,5,1,0,0,1,1,1,0,0,0,0,0,0,FMD,Moderate,0
Cow,60,Female,12,1,0,0,1,135,Supportive Care,23.7876,80.7856,40.2,9.3,32.6,81.9,25.4,Winter,5,2,1,0,1,0,0,1,0,1,0,1,0,0,Mastitis,Moderate,0
Cow,16,Female,10,0,1,1,0,60,Antibiotics,25.7449,75.9646,28.1,14.4,32.7,43.2,1.9,Summer,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Healthy,Low,0
Buffalo,22,Male,3,1,0,1,1,85,Dewormed,19.4194,76.4581,5.7,5.5,22.2,87.6,79.4,Monsoon,5,3,2,1,1,1,0,0,0,0,1,0,0,0,Hemorrhagic_Septicemia,Critical,1
Buffalo,27,Male,4,1,1,1,1,74,Antibiotics,21.1203,75.2468,56.9,12.9,26.0,45.5,11.4,Summer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Healthy,Low,0
Cow,14,Female,12,1,1,1,1,219,Supportive Care,24.3593,83.6861,49.5,7.6,27.8,66.1,29.7,Summer,5,6,3,0,1,0,0,0,0,1,0,0,0,0,Mastitis,Moderate,0
Buffalo,76,Female,18,1,1,1,1,165,Untreated,18.0143,82.7768,11.5,14.0,18.0,68.8,38.3,Summer,2,4,4,0,1,0,0,0,0,1,0,1,0,0,Mastitis,Moderate,0
Buffalo,65,Female,3,1,0,1,1,142,Supportive Care,24.0673,77.6723,31.8,9.1,30.6,74.0,45.7,Monsoon,2,6,2,1,1,0,0,1,0,0,0,0,0,0,Black_Quarter,High,1
Cow,87,Female,51,0,1,0,1,31,Antibiotics,19.246,75.1969,40.6,13.6,19.8,51.0,2.5,Monsoon,4,4,3,0,1,1,1,1,0,0,0,1,0,0,FMD,High,1
Buffalo,87,Female,11,0,1,0,0,332,Dewormed,18.8604,81.7222,19.2,10.8,32.5,86.4,75.0,Monsoon,3,4,1,2,1,1,0,1,0,0,1,0,0,0,Hemorrhagic_Septicemia,Critical,1
Cow,85,Female,11,1,0,0,0,89,Antibiotics,16.3765,84.7185,49.8,11.2,27.4,78.3,48.6,Monsoon,3,4,2,1,1,0,0,0,0,0,1,0,0,0,Hemorrhagic_Septicemia,Critical,1
Cow,92,Female,2,1,0,1,0,349,Untreated,26.7387,74.5329,10.6,6.2,33.2,78.1,37.1,Monsoon,4,2,1,2,1,0,0,0,0,0,1,0,0,1,Anthrax,Critical,1
Cow,16,Female,5,1,1,1,1,326,Untreated,15.749,77.9741,31.1,9.7,37.8,90.7,25.2,Post-Monsoon,4,6,1,0,1,0,0,0,0,1,0,0,0,0,Mastitis,Moderate,0
Buffalo,17,Male,13,1,0,0,1,54,Antibiotics,17.7923,76.2202,25.8,5.1,25.0,78.3,24.7,Post-Monsoon,2,3,1,0,1,0,0,0,1,0,0,0,0,0,Lumpy_Skin_Disease,Moderate,0
Cow,28,Female,7,1,0,1,1,135,Antibiotics,26.5582,79.3393,31.6,14.2,29.5,78.3,67.4,Monsoon,6,3,1,2,1,1,0,0,1,0,1,0,0,0,Hemorrhagic_Septicemia,Critical,1
Buffalo,91,Male,21,1,0,1,1,113,Dewormed,17.4259,74.5254,29.6,7.6,33.7,98.6,42.7,Monsoon,3,1,4,2,1,1,0,0,0,0,1,0,0,0,Hemorrhagic_Septicemia,Critical,1
Cow,110,Female,14,0,0,1,1,201,Dewormed,20.7289,84.3019,1.9,2.6,31.5,72.7,68.7,Monsoon,2,3,2,1,1,1,1,0,0,1,1,0,0,0,Hemorrhagic_Septicemia,Critical,1
Cow,26,Female,32,1,1,1,1,293,Untreated,23.6782,81.7201,56.2,3.6,29.0,44.7,3.1,Post-Monsoon,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Healthy,Low,0
Buffalo,105,Female,7,0,1,1,1,245,Supportive Care,20.9823,78.0289,30.2,12.2,29.7,21.8,4.4,Post-Monsoon,7,6,1,0,1,1,1,1,0,0,0,0,0,0,FMD,Moderate,0
Buffalo,24,Female,10,1,0,0,1,194,Supportive Care,18.0247,80.0105,7.6,12.5,33.5,73.7,28.1,Post-Monsoon,1,3,4,0,1,1,0,0,1,0,0,0,0,0,Lumpy_Skin_Disease,High,1
Buffalo,20,Female,7,1,0,1,1,105,Antibiotics,20.0508,84.4075,18.9,2.6,31.5,84.3,37.1,Monsoon,2,2,1,1,1,1,0,0,0,0,0,0,0,0,Hemorrhagic_Septicemia,Critical,1
Cow,82,Female,55,1,0,0,0,194,Antibiotics,15.6802,84.3758,28.8,7.2,31.9,67.8,31.7,Monsoon,5,3,1,1,1,0,0,1,0,0,0,0,0,0,Black_Quarter,High,1
Buffalo,73,Female,3,1,0,0,0,33,Antibiotics,25.8455,79.2688,45.2,2.2,29.3,87.1,16.7,Post-Monsoon,3,3,2,0,1,0,0,0,1,0,0,0,0,0,Lumpy_Skin_Disease,Moderate,0
Cow,28,Female,2,1,1,1,1,358,Antibiotics,16.0424,84.3444,4.3,14.5,30.6,74.0,38.7,Post-Monsoon,7,6,1,0,1,0,0,1,0,1,0,1,0,0,Mastitis,Moderate,0
Cow,100,Female,1,1,1,1,1,286,Dewormed,26.046,82.5834,25.4,4.7,27.8,80.1,17.6,Post-Monsoon,3,4,1,0,1,0,0,0,0,0,1,0,0,1,Anthrax,Critical,1
Cow,93,Female,12,0,1,0,1,266,Dewormed,16.7389,75.4964,44.3,13.1,47.1,62.7,0.5,Post-Monsoon,0,4,2,0,0,1,1,1,0,0,0,0,0,0,FMD,Moderate,0
Cow,113,Female,8,1,0,1,1,70,Untreated,19.5917,82.0831,39.1,0.3,25.4,66.8,30.4,Post-Monsoon,1,5,2,0,1,0,0,0,0,1,0,1,0,0,Mastitis,Moderate,0
Buffalo,82,Female,5,0,1,1,1,49,Untreated,20.8058,83.9446,45.1,6.3,25.6,25.4,9.3,Post-Monsoon,2,6,3,0,1,1,1,1,0,0,0,0,0,0,FMD,High,1
Cow,36,Female,2,1,1,0,0,157,Dewormed,19.2173,77.1701,43.6,2.0,37.3,74.6,20.4,Post-Monsoon,1,2,1,0,0,0,0,0,1,0,0,0,0,0,Lumpy_Skin_Disease,Moderate,0
Cow,75,Female,14,1,1,1,0,37,Untreated,27.0117,74.2193,11.4,11.5,27.3,73.3,26.9,Post-Monsoon,2,4,2,2,1,0,0,1,0,0,0,0,0,0,Black_Quarter,High,1
Buffalo,39,Female,14,1,0,1,1,56,Antibiotics,20.5396,79.3574,13.0,14.7,30.4,64.3,12.0,Post-Monsoon,4,6,1,0,0,0,0,0,0,1,0,1,0,0,Mastitis,Moderate,0
Buffalo,36,Female,10,1,1,0,0,53,Untreated,25.0345,84.1201,49.3,11.2,36.1,88.8,12.4,Post-Monsoon,3,5,4,0,1,0,0,0,1,0,0,0,1,0,Lumpy_Skin_Disease,High,1
Cow,82,Female,1,0,0,1,1,213,Dewormed,20.5054,79.2338,8.5,1.7,30.8,69.5,45.6,Post-Monsoon,4,1,1,1,1,0,0,0,0,0,1,0,0,1,Anthrax,Critical,1
Cow,17,Female,1,1,1,1,1,317,Supportive Care,23.0177,80.0077,7.2,7.9,24.3,96.8,31.5,Summer,1,6,1,0,1,0,0,0,0,1,0,1,0,0,Mastitis,Moderate,0
Buffalo,71,Female,3,1,1,0,1,32,Untreated,27.6321,73.1665,36.7,13.4,34.2,80.7,14.4,Post-Monsoon,2,4,1,0,1,0,0,0,1,0,0,0,0,0,Lumpy_Skin_Disease,Moderate,0
Buffalo,92,Female,3,0,1,1,1,145,Antibiotics,23.5008,78.1191,48.7,1.7,30.9,76.1,10.3,Post-Monsoon,2,4,2,0,1,0,0,0,0,1,0,1,0,0,Mastitis,Moderate,0
Cow,26,Female,15,0,1,1,1,234,Antibiotics,22.1203,80.2799,23.9,13.7,27.3,81.2,11.4,Winter,3,6,2,0,1,0,0,0,0,1,0,1,0,0,Mastitis,Moderate,0
Buffalo,30,Female,2,1,0,1,1,113,Supportive Care,15.3462,83.0737,9.3,10.1,30.4,88.9,32.9,Monsoon,3,6,1,0,1,1,0,0,0,0,1,0,0,0,Hemorrhagic_Septicemia,Critical,1
Cow,95,Female,1,0,0,1,1,349,Supportive Care,27.7398,74.8419,46.4,7.9,20.1,59.7,12.4,Monsoon,5,3,1,0,1,1,1,1,0,0,0,0,0,0,FMD,Moderate,0
Buffalo,111,Male,7,1,0,1,0,149,Untreated,15.6945,74.4383,23.8,10.1,32.6,58.4,24.8,Monsoon,3,6,3,0,1,0,0,1,0,0,0,0,0,0,Black_Quarter,High,1
Buffalo,43,Male,21,1,0,0,0,174,Supportive Care,16.1862,77.9346,17.9,8.1,27.8,57.5,17.2,Monsoon,3,3,1,0,0,0,0,0,0,1,0,1,0,0,Mastitis,Moderate,0
Cow,115,Female,13,0,0,0,1,236,Supportive Care,24.1181,83.4248,5.5,3.7,23.6,85.3,17.0,Post-Monsoon,0,5,1,0,1,0,0,0,0,1,1,0,0,1,Lumpy_Skin_Disease,Moderate,0
Cow,97,Female,9,0,0,1,0,246,Antibiotics,27.9018,73.3557,33.2,6.3,28.9,96.9,45.8,Monsoon,0,4,1,2,1,1,0,0,1,0,1,0,0,0,Hemorrhagic_Septicemia,Critical,1
Buffalo,49,Male,5,0,1,0,1,219,Dewormed,19.7215,75.9891,28.9,13.2,13.2,67.6,13.0,Post-Monsoon,3,6,3,0,1,1,1,1,0,1,0,0,0,0,FMD,High,1
Cow,46,Female,6,1,0,0,0,251,Untreated,18.6815,79.8502,3.4,14.4,32.3,87.3,13.4,Post-Monsoon,1,4,3,0,1,0,0,0,1,0,0,0,0,0,Lumpy_Skin_Disease,High,1
Cow,17,Female,1,1,1,1,0,332,Supportive Care,19.1629,82.4121,3.1,11.4,36.0,56.3,11.7,Post-Monsoon,4,5,1,1,1,0,1,1,0,0,0,0,0,0,Black_Quarter,High,1
Buffalo,119,Female,4,1,1,0,1,311,Untreated,23.9701,82.3883,8.8,12.2,37.3,94.5,20.8,Post-Monsoon,0,3,1,0,1,0,0,0,1,0,0,0,0,0,Lumpy_Skin_Disease,Moderate,0
Cow,77,Female,9,1,1,1,1,344,Supportive Care,23.8397,77.3509,71.5,1.8,20.4,58.8,13.4,Post-Monsoon,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Healthy,Low,0
Cow,44,Female,2,1,1,0,1,227,Dewormed,21.5214,74.9874,17.0,4.1,31.3,68.6,22.3,Post-Monsoon,3,6,1,0,1,0,0,0,1,0,0,0,0,0,Lumpy_Skin_Disease,Moderate,0
Buffalo,89,Female,2,0,0,0,1,210,Dewormed,26.4579,73.4716,32.6,7.2,25.5,84.1,45.1,Monsoon,2,1,1,2,1,1,0,0,0,0,1,0,0,0,Hemorrhagic_Septicemia,Critical,1
Buffalo,61,Female,13,1,0,0,0,303,Untreated,26.7194,74.3794,18.8,5.5,31.9,74.3,42.8,Monsoon,1,5,2,2,1,0,0,0,0,0,0,0,0,0,Black_Quarter,High,1
Cow,70,Female,7,1,1,0,1,130,Dewormed,18.3855,75.4528,18.1,1.2,30.6,79.1,23.9,Monsoon,6,1,4,0,1,0,0,1,0,0,0,0,0,0,Black_Quarter,High,1
Cow,86,Female,13,1,1,0,1,222,Supportive Care,17.004,76.4498,30.9,2.9,24.8,87.8,18.5,Post-Monsoon,4,6,2,0,1,0,0,0,1,0,0,0,0,0,Lumpy_Skin_Disease,Moderate,0
Buffalo,61,Female,9,1,0,0,1,78,Supportive Care,20.0035,84.9951,20.6,8.2,23.1,77.1,22.6,Monsoon,1,3,3,0,1,0,0,0,0,1,0,0,0,0,Mastitis,Moderate,0
